Traceback (most recent call last):
  File "server.py", line 49, in <module>
    main()
  File "server.py", line 45, in main
    tornado.ioloop.IOLoop.instance().start()
  File "/usr/lib64/python2.6/site-packages/tornado/ioloop.py", line 862, in start
    event_pairs = self._impl.poll(poll_timeout)
KeyboardInterrupt
WARNING:tornado.access:400 GET / (59.110.6.177) 0.43ms
WARNING:tornado.access:404 GET http://www.qq.com/404/search_children.js (120.132.3.151) 0.42ms
WARNING:tornado.access:404 GET http://106.2.112.147/proxyip/check (123.126.94.201) 0.48ms
WARNING:tornado.access:400 GET / (47.52.32.223) 0.50ms
WARNING:tornado.access:400 GET / (59.110.6.177) 0.52ms
WARNING:tornado.access:400 GET / (61.151.226.16) 0.43ms
WARNING:tornado.access:400 GET / (180.122.159.145) 0.50ms
WARNING:tornado.access:404 GET http://106.2.112.147/proxyip/check (106.38.230.19) 0.42ms
WARNING:tornado.access:404 GET http://106.2.112.147/proxyip/check (123.126.94.201) 0.47ms
WARNING:tornado.access:400 GET / (114.215.45.101) 1.00ms
WARNING:tornado.access:404 GET /about/ (140.205.201.41) 0.46ms
WARNING:tornado.access:404 GET /master-status (140.205.201.41) 0.41ms
WARNING:tornado.access:404 GET http://106.2.112.147/proxyip/check (106.38.230.19) 0.42ms
WARNING:tornado.access:400 GET / (59.110.6.177) 0.46ms
WARNING:tornado.access:400 GET / (59.110.6.177) 0.45ms
WARNING:tornado.access:404 GET http://106.2.112.147/proxyip/check (123.126.94.201) 0.41ms
WARNING:tornado.access:404 GET /uddiexplorer/SearchPublicRegistries.jsp (58.211.134.46) 0.55ms
WARNING:tornado.access:404 GET http://106.2.112.147/proxyip/check (123.126.94.201) 0.39ms
WARNING:tornado.access:400 GET / (59.110.6.177) 0.45ms
WARNING:tornado.access:404 GET /about/ (140.205.201.40) 0.55ms
WARNING:tornado.access:404 GET /master-status (140.205.201.40) 0.57ms
WARNING:tornado.access:400 GET / (114.215.45.79) 0.46ms
WARNING:tornado.access:404 GET http://106.2.112.147/proxyip/check (106.38.230.190) 0.44ms
WARNING:tornado.access:404 GET http://106.2.112.147/proxyip/check (106.38.230.19) 0.47ms
WARNING:tornado.access:400 GET / (47.90.92.26) 0.46ms
WARNING:tornado.access:400 GET / (180.153.152.193) 0.47ms
WARNING:tornado.access:400 GET / (180.153.152.193) 0.74ms
WARNING:tornado.access:400 GET / (180.153.214.197) 0.41ms
WARNING:tornado.access:404 GET http://106.2.112.147/proxyip/check (106.38.230.19) 0.42ms
WARNING:tornado.access:400 GET / (47.90.92.26) 0.50ms
WARNING:tornado.access:404 GET http://106.2.112.147/proxyip/check (106.38.230.19) 0.43ms
WARNING:tornado.access:404 GET /about/ (140.205.225.188) 0.57ms
WARNING:tornado.access:404 GET /master-status (140.205.225.188) 0.44ms
WARNING:tornado.access:400 GET / (114.215.45.79) 0.47ms
WARNING:tornado.access:404 GET http://106.2.112.147/proxyip/check (106.38.230.190) 0.46ms
WARNING:tornado.access:400 GET / (106.184.3.122) 0.48ms
WARNING:tornado.access:400 GET / (47.92.2.1) 0.46ms
WARNING:tornado.access:404 GET http://106.2.112.147/proxyip/check (106.38.230.190) 0.45ms
WARNING:tornado.access:400 GET / (116.62.176.205) 0.87ms
WARNING:tornado.access:404 GET http://106.2.112.147/proxyip/check (106.38.230.19) 0.44ms
WARNING:tornado.access:404 GET http://106.2.112.147/proxyip/check (106.38.230.19) 0.41ms
WARNING:tornado.access:400 GET / (116.62.176.205) 0.45ms
WARNING:tornado.access:400 GET / (183.32.115.32) 0.48ms
WARNING:tornado.access:404 GET http://106.2.112.147/proxyip/check (106.38.230.190) 0.40ms
WARNING:tornado.access:400 GET / (116.62.176.205) 0.55ms
WARNING:tornado.access:404 GET http://106.2.112.147/proxyip/check (106.38.230.190) 0.48ms
WARNING:tornado.access:400 GET / (116.62.176.205) 0.90ms
WARNING:tornado.access:404 GET http://106.2.112.147/proxyip/check (106.38.230.190) 0.44ms
WARNING:tornado.access:404 GET /about/ (140.205.201.31) 0.44ms
WARNING:tornado.access:400 GET / (116.62.176.205) 0.47ms
WARNING:tornado.access:404 GET /master-status (140.205.201.31) 0.41ms
WARNING:tornado.access:404 GET http://106.2.112.147/proxyip/check (106.38.230.190) 0.45ms
WARNING:tornado.access:400 GET / (114.215.45.79) 0.46ms
WARNING:tornado.access:404 GET http://106.2.112.147/proxyip/check (106.38.230.190) 0.47ms
WARNING:tornado.access:400 GET / (47.92.2.1) 0.61ms
WARNING:tornado.access:404 GET http://106.2.112.147/proxyip/check (106.38.230.19) 0.40ms
WARNING:tornado.access:404 GET /about/ (140.205.225.188) 0.40ms
WARNING:tornado.access:404 GET /master-status (140.205.225.188) 0.48ms
WARNING:tornado.access:404 GET http://106.2.112.147/proxyip/check (106.38.230.190) 0.42ms
WARNING:tornado.access:400 GET / (47.92.2.1) 0.44ms
WARNING:tornado.access:400 GET / (180.153.214.182) 0.49ms
WARNING:tornado.access:400 GET / (101.226.125.105) 0.46ms
